ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
PATK,consumer_disc,58.35,70.41,43.86,39.88,78.95,0.2685616651133893,0.2585616651133893,8,R3
PAY,tech_software,53.36,28.36,34.54,72.94,96.99,0.6927811975377727,0.6827811975377727,7,R3
PAYC,tech_software,54.02,47.24,81.36,76.61,3.76,-0.014873916469661075,-0.018873916469661075,7,R3
PAYO,tech_software,75.24,85.9,79.23,88.07,41.35,0.8944337811900192,0.8844337811900191,10,R3
PAYX,industrials,59.23,40.51,79.35,68.18,50.0,0.2028489001081859,0.1988489001081859,9,R3
PBI,industrials,39.07,63.19,23.95,12.32,50.96,0.6691176470588234,0.6591176470588234,3,R3
PBPB,consumer_disc,53.95,36.66,39.81,55.88,97.14,-0.12955854126679456,-0.13955854126679457,7,R3
PCG,utilities,65.02,48.45,70.83,55.81,90.38,-0.044994375703037104,-0.04899437570303711,9,R3
PCOR,tech_software,51.08,5.0,65.48,90.37,60.15,0.0814793412308581,0.0714793412308581,6,R3
PCRX,healthcare,51.64,59.83,64.33,57.27,16.39,-0.3882631890930647,-0.3982631890930647,6,R3
PCT,industrials,4.21,0.0,7.55,,5.77,1.3950617283950617,1.3850617283950617,1,R3
PCTY,tech_software,58.25,48.89,74.19,90.83,17.76,0.16123748862602372,0.1512374886260237,8,R3
PCVX,healthcare,39.25,11.06,69.27,,39.01,0.29108280254777075,0.28108280254777074,3,R3
PD,tech_software,46.96,25.48,61.97,71.56,33.46,-0.23930885529157664,-0.24930885529157665,5,R3
PDFS,tech_software,45.82,16.19,66.4,81.19,25.94,-0.14872433105164906,-0.15872433105164907,5,R3
PDM,reits,45.75,84.47,50.36,22.77,5.0,0.2549618320610689,0.24496183206106892,5,R3
PEAK,reits,43.3,69.9,50.36,34.65,2.86,-0.12082262210796901,-0.12482262210796902,4,R3
PEB,reits,60.01,62.75,50.36,89.11,40.71,-0.17654476670870112,-0.18654476670870113,9,R3
PEG,utilities,56.97,31.19,68.75,48.84,86.54,0.4216719353705656,0.4176719353705656,8,R3
PEGA,tech_software,37.82,30.95,40.61,27.98,53.76,0.939967105263158,0.929967105263158,3,R3
PEN,healthcare,43.08,5.27,47.71,76.85,59.02,-0.0036574699848930248,-0.013657469984893025,4,R3
PENN,consumer_disc,50.81,70.08,46.73,,28.12,-0.2624903920061491,-0.2724903920061491,6,R3
PFE,healthcare,50.67,73.23,74.17,27.0,8.11,-0.015120555782590861,-0.01912055578259086,6,R3
PG,consumer_staples,57.54,39.99,89.94,35.87,59.65,0.10895054985070285,0.10495054985070285,8,R3
PGEN,healthcare,35.76,28.0,31.0,33.58,55.96,-0.11940298507462699,-0.129402985074627,3,R3
