ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
SGMO,healthcare,21.66,30.87,57.65,16.1,45.71,-0.5506666666666666,-0.5806666666666667,2,R2
SHAK,consumer_disc,7.6,0.0,14.71,,19.35,-0.2919900221729489,-0.3115598600793612,1,R2
SHC,healthcare,27.59,41.33,60.54,,16.8,-0.26751592356687903,-0.29071568956546184,2,R2
SHCR,tech_software,6.27,13.89,21.28,,13.83,-0.5723830734966593,-0.6023830734966593,1,R2
SHEN,industrials,57.24,80.11,100.0,,22.58,-0.3352090032154341,-0.3639412774054188,9,R2
SHLS,industrials,31.77,2.34,72.52,,49.08,-0.01851851851851849,-0.043495517808562256,3,R2
SHLX,energy,43.08,70.0,74.19,34.78,23.06,0.46345975948196116,0.43940137831435144,6,R2
SHO,reits,44.8,26.49,50.38,100.0,12.12,-0.17692307692307685,-0.1974443091768135,6,R2
SHOO,consumer_disc,56.46,37.71,56.17,91.38,52.33,-0.29509757258448366,-0.3159722971371066,9,R2
SHW,industrials,42.04,19.49,75.08,6.45,70.21,-0.3289050276031058,-0.3343409499575308,5,R2
SIBN,healthcare,6.48,0.0,39.66,27.27,8.8,-0.28680774425934263,-0.31680774425934266,1,R2
SIG,consumer_disc,71.28,85.45,60.22,58.62,95.35,-0.1467252103915112,-0.16609868513806306,10,R2
SIGA,healthcare,65.06,96.5,99.22,,47.2,0.05702647657841142,0.027026476578411424,10,R2
SILK,healthcare,18.65,0.0,33.97,63.64,12.8,0.2100445904717203,0.18138626855799556,1,R2
SIRI,consumer_disc,44.91,41.67,82.42,26.09,46.88,-0.018804691863712475,-0.026636750940342166,6,R2
SITC,reits,31.07,9.38,50.38,,81.82,-0.1718464351005483,-0.1989985666144276,3,R2
SITM,tech_hardware,61.94,4.13,47.11,89.13,97.51,-0.6253503794352909,-0.6450037799285533,9,R2
SIX,consumer_disc,21.28,0.0,23.97,,44.23,-0.40712530712530715,-0.42638169428873085,2,R2
SJI,utilities,42.48,29.36,9.09,100.0,75.56,0.41792828685258976,0.3968117969340502,5,R2
SJM,consumer_staples,57.28,70.17,64.58,16.67,66.0,0.20492291968316168,0.19796162791876815,9,R2
SJW,utilities,44.78,50.48,95.45,11.76,33.33,0.13237686732731846,0.11022032091460349,6,R2
SKLZ,tech_software,13.3,0.0,52.12,,4.85,-0.920228494623656,-0.9418216945532661,1,R2
SKT,reits,44.97,47.69,50.38,41.3,96.97,0.007838014369693003,-0.022161985630306996,6,R2
SKX,consumer_disc,52.18,63.42,54.05,53.33,54.29,0.06497695852534568,0.0476308334377816,8,R2
SKYT,tech_hardware,0.0,0.0,9.43,,6.35,-0.4741060419235512,-0.5041060419235512,1,R2
SLAB,tech_hardware,45.18,33.78,59.34,17.39,87.5,-0.2702741982366049,-0.28646622221669393,6,R2
SLCA,industrials,31.63,43.49,33.75,52.63,37.1,0.2627659574468084,0.23276595744680842,3,R2
SLDP,industrials,11.33,0.0,1.67,,54.04,-0.7391304347826086,-0.7640816533207796,1,R2
SLG,reits,62.01,89.58,50.38,,46.97,-0.48424483882651215,-0.5042164247024411,9,R2
SLGC,healthcare,14.81,69.57,17.98,,15.91,-0.7491408934707904,-0.7791408934707904,1,R2
SLP,healthcare,31.17,33.85,42.7,,42.45,-0.20931730356376133,-0.23931730356376132,3,R2
SM,energy,50.63,28.38,54.44,67.86,85.23,0.06263899184581168,0.03886652925645358,7,R2
SMAR,tech_software,57.58,3.17,49.01,86.42,50.95,-0.5131052291801161,-0.5299456310195766,9,R2
SMCI,tech_hardware,51.62,45.19,32.9,95.65,65.62,0.785876993166287,0.7568674791497821,8,R2
SMLR,healthcare,45.03,31.89,73.03,,53.2,-0.5846153846153846,-0.6146153846153847,6,R2
SMP,consumer_disc,54.44,73.38,81.13,44.83,68.42,-0.2902449693788276,-0.3202449693788276,8,R2
SMPL,consumer_staples,44.37,23.03,58.43,63.89,68.0,-0.13062304546547987,-0.15303618596217272,6,R2
SMRT,tech_software,5.47,2.31,1.36,,32.91,-0.6931818181818181,-0.7231818181818181,1,R2
SMTC,tech_hardware,44.57,36.96,65.92,45.65,51.18,-0.6491622624536153,-0.6682007667282085,6,R2
