ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
AVB,reits,53.86,53.4,50.36,49.5,72.14,0.16308368007397123,0.15642715403558421,8,R3
AVDX,tech_software,44.02,3.82,25.69,72.02,63.35,-0.22276029055690072,-0.24961459499045174,6,R3
AVEO,healthcare,33.39,66.0,60.0,,30.79,-0.3,-0.32999999999999996,3,R3
AVGO,tech_hardware,70.56,47.26,86.85,77.42,88.64,1.0358847283406756,1.031114227668692,10,R3
AVID,tech_software,24.93,31.76,34.84,26.15,48.87,-0.3,-0.3290664782872649,2,R3
AVLR,tech_software,29.81,0.71,48.39,,35.24,-0.3,-0.3147934652526175,2,R3
AVNS,healthcare,27.42,80.27,41.84,11.32,26.23,-0.3223361569326795,-0.3523361569326795,2,R3
AVPT,tech_software,45.63,0.0,38.05,56.88,92.67,0.9732034104750302,0.9432034104750302,6,R3
AVT,tech_hardware,57.39,62.9,33.85,89.32,58.46,0.046008403361344596,0.028345432766594375,9,R3
AVTR,industrials,32.12,41.01,49.18,19.32,27.88,-0.05124835742444145,-0.059360886671606355,3,R3
AVXL,healthcare,36.03,39.22,,,47.63,0.20622986036519864,0.17622986036519864,4,R3
AVY,industrials,36.11,37.72,54.98,22.55,38.46,-0.07092747343443717,-0.07937518539011229,4,R3
AWK,utilities,49.18,36.75,91.67,27.91,34.62,-0.06139579502758019,-0.0681245759276507,7,R3
AXL,industrials,23.3,50.0,19.91,43.65,20.0,-0.3700340522133939,-0.40003405221339394,2,R3
AXNX,healthcare,37.37,0.0,40.66,89.62,40.16,0.14060742407199123,0.11709621816967127,4,R3
AXON,industrials,59.0,9.32,69.98,98.21,72.73,1.2064800836139824,1.1962185823092144,9,R3
AXSM,healthcare,34.96,12.07,63.0,,42.5,0.005779620555345977,-0.021467776529382743,4,R3
AXTA,industrials,57.23,41.58,46.36,65.23,80.0,-0.006770680011775054,-0.022416889899318934,9,R3
AYI,industrials,49.41,74.04,64.57,37.06,36.54,0.49371378057165294,0.47693507341367963,7,R3
AYX,tech_software,57.05,27.87,72.23,84.86,32.8,0.023324851569126448,0.003940273353508099,9,R3
AZEK,industrials,46.7,10.2,50.54,52.47,90.0,0.17098039215686267,0.15158851326041992,6,R3
AZO,consumer_disc,58.44,34.81,92.05,61.72,53.95,0.2574672901172257,0.2516720553519682,9,R3
AZPN,tech_software,56.98,19.61,99.05,,53.57,0.1326822620940269,0.11987189760230554,9,R3
AZZ,industrials,51.8,40.89,43.74,95.79,66.35,0.4551203232039347,0.42541161628204593,7,R3
B,industrials,43.87,58.51,50.46,38.62,34.0,-0.11065812463599312,-0.12335395941401815,6,R3
