ticker,valuation_score_sf,quality_score_sf,growth_score_sf,sentiment_score_sf,potential_score_sf,valuation_score_fmp,quality_score_fmp,growth_score_fmp,sentiment_score_fmp,potential_score_fmp,in_sample
AMC,20.45,42.6,59.26,3.23,26.24,20.45,43.67,62.96,3.23,27.81,False
AMCR,,,,,,,,,,,False
AMD,15.39,40.83,55.96,48.55,42.42,15.39,41.31,57.68,48.55,43.11,False
AME,42.94,83.43,54.24,54.87,57.86,42.94,84.03,54.09,54.87,57.97,True
AMED,31.34,59.2,19.24,38.71,32.28,31.34,52.53,16.67,38.71,30.33,True
AMG,67.39,57.61,29.69,71.74,49.62,67.39,58.79,29.87,71.74,49.97,False
AMGN,49.1,19.83,42.96,29.29,36.11,49.1,19.83,42.96,29.29,36.11,False
AMH,54.68,54.41,61.98,46.26,54.24,54.68,55.38,60.19,46.26,53.94,True
AMK,39.38,41.25,68.75,30.43,45.09,39.38,43.53,69.7,30.43,45.98,False
AMKR,82.71,26.8,49.72,14.49,37.59,82.71,26.8,49.93,14.49,37.66,True
AMLX,8.73,75.21,82.39,50.82,58.26,8.73,75.21,81.69,50.82,57.88,True
AMN,,,,,,,,,,,False
AMOT,63.91,42.56,66.4,34.78,43.57,63.91,43.04,65.2,34.78,43.33,False
AMP,33.79,50.0,53.12,73.91,51.35,33.79,47.83,54.55,73.91,51.32,False
AMPH,97.5,65.74,88.46,21.95,62.25,97.5,65.74,87.44,21.95,61.89,True
AMPL,6.3,47.13,50.23,80.29,41.96,6.3,49.28,51.13,80.29,42.84,False
AMPS,,,,,,,,,,,False
AMPX,0.0,2.99,99.01,98.23,39.84,0.0,2.99,100.0,98.23,40.13,False
AMR,51.81,87.5,40.06,3.23,38.21,51.81,87.5,43.63,3.23,39.06,True
AMRC,64.53,37.78,26.59,5.36,24.79,64.53,40.45,27.23,5.36,25.65,False
AMRK,81.37,49.23,13.68,5.41,24.82,81.37,47.88,11.76,5.41,23.81,False
AMRN,36.06,23.14,19.01,23.03,11.87,36.06,23.14,18.31,23.03,11.49,False
AMRX,41.39,42.58,69.91,82.93,53.15,41.39,43.42,64.03,82.93,51.25,True
AMRZ,,,,,,,,,,,False
AMSC,8.22,21.5,95.16,68.12,39.42,8.22,21.02,95.16,68.12,39.3,False
AMSWA,28.19,28.1,10.41,58.76,14.87,28.19,28.08,9.95,58.76,14.63,False
AMT,22.35,62.3,,42.86,41.54,22.35,63.69,,42.86,42.04,False
AMWD,83.87,27.03,53.64,24.32,38.16,83.87,27.03,51.61,24.32,37.46,False
AMZN,15.14,40.86,82.97,59.21,54.6,15.14,42.92,82.27,59.21,54.77,False
AN,72.65,72.41,80.77,79.31,74.69,72.65,57.76,32.69,79.31,55.19,True
ANAB,16.87,31.12,91.55,47.0,56.32,16.87,31.0,90.85,47.0,55.92,False
ANDE,68.01,21.51,40.67,12.9,30.08,68.01,20.43,41.2,12.9,29.86,False
ANET,29.86,96.19,93.94,42.03,66.94,29.86,95.71,93.47,42.03,66.68,True
ANF,83.47,75.97,89.64,1.32,60.67,83.47,82.89,90.15,1.32,62.22,True
ANGI,84.47,63.66,10.71,23.53,31.48,84.47,63.66,14.29,23.53,32.74,True
ANGO,0.0,29.78,7.71,97.5,22.06,0.0,30.42,8.58,97.5,22.46,False
ANIP,20.37,42.78,93.21,65.85,54.9,20.37,43.61,92.19,65.85,54.68,True
ANSS,36.1,93.71,42.99,64.96,54.89,36.1,94.1,42.99,64.96,54.97,False
AON,42.33,79.42,50.97,54.05,56.09,42.33,77.99,52.22,54.05,56.19,True
AORT,6.84,45.55,67.55,75.0,43.71,6.84,45.93,63.23,75.0,42.28,True
AOS,99.66,82.47,40.29,11.5,58.57,99.66,83.68,41.7,11.5,59.29,False
AOSL,15.91,21.49,32.16,11.59,11.53,15.91,21.97,32.68,11.59,11.81,False
APAM,54.43,66.95,40.62,67.39,50.92,54.43,69.27,42.64,67.39,52.2,True
APD,29.55,43.33,56.41,80.0,51.01,29.55,43.33,56.41,80.0,51.01,False
APEI,,,,,,,,,,,False
APH,26.66,71.8,73.29,76.81,61.09,26.66,72.28,73.79,76.81,61.36,True
APLD,8.09,5.03,100.0,65.33,60.2,8.09,5.03,100.0,65.33,60.2,True
APLE,77.43,45.14,65.74,14.97,54.26,77.43,45.28,66.43,14.97,54.5,True
APLS,20.58,47.93,92.25,45.79,61.41,20.58,47.93,91.55,45.79,61.04,False
APO,6.99,56.52,81.25,65.22,55.42,6.99,54.35,78.79,65.22,54.02,False
APOG,81.39,42.42,26.39,6.06,31.98,81.39,42.42,39.94,6.06,35.21,True
APP,36.24,96.27,30.54,83.21,52.54,36.24,96.46,31.0,83.21,52.8,True
APPF,37.06,41.38,89.14,28.47,58.86,37.06,41.48,88.69,28.47,58.65,True
APPN,13.45,30.76,59.28,23.91,34.39,13.45,30.76,59.73,23.91,34.62,True
APPS,17.16,20.13,2.71,98.18,15.42,17.16,20.74,2.71,98.18,15.54,True
APTV,58.43,67.24,58.79,56.9,57.99,58.43,66.38,61.26,56.9,58.66,True
APY,85.25,78.34,43.28,16.07,54.7,85.25,56.59,,16.07,52.95,True
AQST,0.0,20.0,61.54,95.12,38.46,0.0,17.5,61.54,95.12,38.06,False
AQUA,7.91,26.86,71.29,34.96,36.97,7.91,26.56,69.31,34.96,36.3,False
AR,37.69,48.0,15.95,65.23,41.28,37.69,62.0,25.14,65.23,45.89,True
ARCB,66.37,50.0,44.99,11.54,39.05,66.37,53.21,44.99,11.54,39.85,False
ARCC,7.74,62.5,,54.35,41.28,7.74,62.5,,54.35,41.28,False
ARCH,94.34,83.33,82.61,25.81,66.91,94.34,83.33,82.61,25.81,66.91,False
ARCO,95.42,46.49,67.64,16.22,49.37,95.42,45.61,67.64,16.22,49.2,True
ARCT,24.8,60.85,21.13,41.96,22.27,24.8,60.92,20.42,41.96,21.9,False
ARDX,18.3,47.11,86.62,38.12,54.05,18.3,47.11,85.92,38.12,53.68,True
ARE,45.55,34.98,59.36,3.4,39.51,45.55,43.91,43.25,3.4,36.84,True
ARES,3.84,33.45,,82.61,37.24,3.84,35.77,,82.61,38.11,False
ARHS,39.3,84.56,64.08,13.16,40.25,39.3,86.58,63.37,13.16,40.41,False
ARIS,92.13,13.33,97.56,97.96,60.37,92.13,17.78,95.12,97.96,61.11,True
ARKO,58.57,19.78,41.4,27.63,27.08,58.57,21.81,40.93,27.63,27.33,True
ARLO,29.63,25.81,53.85,29.03,28.08,29.63,25.81,50.0,29.03,26.93,False
ARLP,,,,,,,,,,,False
ARMK,46.16,29.82,68.57,64.86,53.18,46.16,33.33,68.57,64.86,53.88,True
ARNA,5.45,23.73,,48.98,33.68,5.45,23.68,,48.98,33.66,False
ARNC,36.6,11.64,88.12,34.96,45.49,36.6,11.94,87.13,34.96,45.27,False
AROC,14.81,60.0,49.33,65.0,39.75,14.81,26.67,44.98,65.0,31.96,True
ARQT,15.88,63.64,96.48,54.12,65.43,15.88,63.64,95.77,54.12,65.05,True
ARRY,61.5,28.31,49.22,57.97,42.58,61.5,22.05,4.9,57.97,26.03,True
ARVN,29.4,39.14,66.2,51.44,45.87,29.4,39.04,66.9,51.44,46.24,False
ARW,89.02,36.94,15.01,49.28,43.66,89.02,36.94,15.28,49.28,43.74,True
ARWR,17.24,45.77,1.41,41.82,10.73,17.24,46.11,1.41,41.82,10.78,False
ASAN,2.73,56.45,59.73,31.57,40.84,2.73,56.24,61.09,31.57,41.48,False
ASC,94.21,87.18,68.6,3.85,56.91,94.21,87.82,66.88,3.85,56.56,False
ASGN,,,,,,,,,,,False
ASH,84.61,41.11,92.31,15.56,55.51,84.61,41.11,89.74,15.56,54.9,False
ASIX,73.48,33.33,30.35,84.44,47.8,73.48,33.33,29.28,84.44,47.55,False
