ticker,altman_z_base,altman_z_swap,piotroski_f_base,piotroski_f_swap,potential_score_sf,in_sample,dec_sf
UI,6.86,6.86,6,6,62.85,True,9
COO,5.37,5.37,8,8,43.82,True,4
SIBN,9.28,9.28,6,6,46.48,True,5
CIR,2.58,2.58,6,6,27.72,True,2
COTY,1.82,1.82,8,8,41.59,True,4
OLN,2.05,2.05,4,4,34.18,True,2
PCTY,2.18,2.18,6,6,70.32,True,10
ALKS,10.04,10.04,6,6,47.67,True,5
EPD,2.53,2.53,5,5,44.06,True,4
RVLV,8.61,8.61,5,5,37.8,True,3
PGEN,4.03,4.03,3,3,2.18,True,1
TDUP,1.89,1.89,3,3,49.18,True,5
ANGI,4.45,4.45,5,5,31.48,True,2
VRNT,3.87,4.33,6,7,24.03,True,1
OXM,4.76,4.76,5,5,61.44,True,9
NR,10.94,10.94,7,7,26.0,True,2
ARE,3.2,3.51,7,7,39.51,True,3
RL,4.51,5.34,7,8,76.76,True,10
CME,1.12,1.12,8,8,63.87,True,9
JKHY,5.64,6.21,6,7,51.8,True,6
HCA,1.37,1.37,7,7,66.94,True,10
ANET,11.86,11.86,4,4,66.94,True,10
BJ,1.6,1.6,6,6,50.72,True,6
CMI,3.02,3.28,6,6,57.48,True,8
SRE,2.06,2.06,5,5,36.65,True,3
XERS,0.27,0.27,4,4,45.92,True,5
SLB,4.12,4.12,8,8,55.43,True,7
HST,3.2,3.06,5,5,60.23,True,8
BELFB,4.81,4.81,4,4,50.61,True,6
GTBIF,7.98,7.98,7,7,36.94,True,3
SCWX,3.3,2.48,5,5,8.1,True,1
IIIV,5.09,5.09,5,5,28.42,True,2
ATRO,5.12,5.12,7,7,48.83,True,5
HES,3.79,3.79,7,7,38.41,True,3
IONS,4.66,5.08,1,2,40.49,True,3
PLAY,0.06,0.06,5,5,44.08,True,4
HLIO,3.9,4.86,7,7,26.61,True,2
FLYW,8.04,8.04,6,6,25.69,True,1
CSTL,15.05,14.8,7,7,53.67,True,7
CMG,5.95,5.95,6,6,50.2,True,5
LIN,3.34,3.34,8,8,54.98,True,7
NDSN,4.29,4.29,5,5,49.82,True,5
AZO,-0.24,-0.24,5,5,68.0,True,10
ITRI,5.79,5.79,5,5,60.45,True,9
APP,4.45,4.45,8,8,52.54,True,6
WING,0.4,0.74,6,6,53.12,True,6
FL,3.25,3.25,7,7,27.28,True,2
UNIT,-2.95,-2.78,6,6,36.79,True,3
HRMY,8.04,8.04,5,5,47.21,True,5
WHR,0.33,0.33,3,3,20.3,True,1
ZTS,4.24,4.38,7,7,51.58,True,6
ESMT,21.32,21.32,6,6,67.33,True,10
EHAB,2.99,2.99,5,5,22.05,True,1
MRO,3.11,3.11,5,5,65.06,True,9
KNF,5.33,5.33,7,7,41.14,True,3
MGNI,1.88,1.87,8,8,43.63,True,4
VCEL,10.93,9.42,4,4,18.13,True,1
APY,5.49,5.49,6,6,54.7,True,7
GLDD,2.6,2.6,7,7,42.83,True,4
QCOM,5.61,5.63,7,8,59.6,True,8
HCCI,5.49,5.49,3,3,63.45,True,9
TSCO,3.0,3.0,5,5,48.75,True,5
URBN,5.51,5.83,6,6,65.86,True,9
ENR,1.9,1.9,6,6,48.27,True,5
FLR,4.18,4.18,6,6,49.55,True,5
DDOG,5.87,5.87,5,5,65.19,True,9
DTE,1.31,1.31,3,3,25.93,True,1
BKD,0.29,0.29,6,6,21.2,True,1
EQIX,2.73,2.73,5,5,43.45,True,4
PD,3.12,3.34,6,6,43.09,True,4
PLYA,2.49,2.54,6,7,57.24,True,8
MRK,3.77,3.77,7,7,48.03,True,5
SBUX,-1.65,-0.46,5,5,51.12,True,6
SHAK,2.98,2.98,6,6,50.79,True,6
TALK,14.28,14.28,7,7,46.41,True,5
TDOC,2.04,2.96,6,5,28.47,True,2
REGN,12.37,12.56,4,4,42.04,True,4
DG,2.01,2.01,5,5,50.39,True,6
LW,2.52,2.52,6,6,52.43,True,6
AVGO,2.9,2.9,4,4,67.33,True,10
STLA,3.43,3.48,7,6,72.43,True,10
WAT,4.59,4.59,6,6,52.03,True,6
PWSC,2.25,2.3,4,4,43.18,True,4
SKX,6.61,6.14,6,6,69.39,True,10
DH,4.76,4.59,5,4,29.67,True,2
FLGT,20.29,20.29,6,6,16.12,True,1
SSD,7.68,7.68,4,4,56.32,True,7
WHD,12.56,12.56,6,6,47.02,True,5
SONO,3.73,3.73,5,5,5.56,True,1
EXLS,6.7,6.7,6,6,49.7,True,5
YOU,1.84,1.84,7,7,80.17,True,10
CHE,7.67,7.67,5,5,51.11,True,6
ESAB,4.18,4.18,6,6,51.09,True,6
YELP,10.95,10.95,6,6,62.82,True,9
ALGN,5.02,5.21,5,5,40.43,True,3
CNMD,3.88,3.88,8,8,55.17,True,7
WWW,1.9,1.9,7,7,31.61,True,2
LII,4.5,4.5,7,7,56.9,True,8
MKC,2.28,2.28,7,7,73.04,True,10
WYNN,0.96,0.96,5,5,56.48,True,7
XPEL,12.54,12.54,6,6,57.76,True,8
KEYS,6.12,6.07,5,5,47.73,True,5
IONQ,14.98,14.98,4,4,53.75,True,7
KSU,3.12,3.12,6,6,60.34,True,8
JJSF,9.96,9.96,7,7,35.22,True,3
SPXC,4.73,4.73,8,8,54.36,True,7
MODN,4.83,4.83,6,6,33.33,True,2
IQV,1.33,1.33,6,6,44.97,True,4
SUM,4.62,4.62,5,5,55.06,True,7
EXE,3.7,3.7,2,2,45.57,True,4
BAH,3.24,3.35,8,8,51.89,True,6
RVNC,-1.03,-1.03,4,4,55.34,True,7
ITT,5.05,5.05,5,5,58.96,True,8
PDM,-1.7,1.84,3,3,22.04,True,1
RRC,3.16,3.03,4,4,37.25,True,3
FIX,3.21,3.21,5,5,71.19,True,10
LCID,3.6,3.6,5,5,38.03,True,3
UE,-1.06,5.56,5,5,48.83,True,5
EXPD,6.67,6.67,6,6,45.22,True,4
PJT,7.79,18.34,6,7,61.16,True,9
INFN,1.46,1.46,4,4,27.32,True,2
ADBE,4.56,4.31,7,7,47.94,True,5
TWKS,4.85,4.85,6,6,16.24,True,1
PODD,5.51,5.51,8,8,66.02,True,9
PDFS,9.38,9.38,6,6,49.5,True,5
CHWY,-0.53,-0.53,7,7,58.63,True,8
DOCS,16.13,16.62,7,7,68.71,True,10
RH,4.61,4.82,5,5,66.7,True,10
SNPS,8.6,8.42,5,5,58.08,True,8
BHC,0.18,0.18,6,6,29.76,True,2
SRDX,6.68,6.68,4,4,19.36,True,1
ALB,4.44,4.44,4,4,23.66,True,1
MPWR,14.63,16.66,3,3,71.28,True,10
GRC,4.02,4.02,8,8,55.23,True,7
LCII,4.8,4.8,7,7,31.33,True,2
GH,1.24,1.24,4,4,53.12,True,6
LE,3.23,3.23,7,7,10.52,True,1
AEHR,19.0,19.0,4,4,43.55,True,4
ORGO,8.91,8.91,6,6,30.02,True,2
CRWD,3.98,4.74,4,4,76.87,True,10
LANC,10.39,10.39,6,6,43.7,True,4
VICI,4.32,4.32,6,6,73.21,True,10
PRFT,5.14,5.14,5,5,30.81,True,2
TEAM,1.38,1.38,4,4,65.5,True,9
GMED,10.0,7.68,4,4,63.88,True,9
CRCT,8.91,8.91,7,7,47.5,True,5
TTD,5.86,5.76,6,6,60.17,True,8
FLT,1.43,1.43,4,4,69.94,True,10
MOV,10.44,10.14,4,3,61.84,True,9
ATUS,0.02,-0.02,3,3,32.65,True,2
DX,1.81,2.09,4,3,65.25,True,9
EOLS,1.81,1.81,6,6,32.51,True,2
VRRM,2.67,2.67,7,7,44.06,True,4
REPX,4.01,4.01,6,6,54.51,True,7
KRG,-0.24,3.25,5,5,53.0,True,6
PPC,4.67,4.67,7,7,65.33,True,9
DUK,1.45,1.45,5,5,68.32,True,10
SLP,32.66,32.66,7,7,38.09,True,3
COCO,10.95,10.64,5,5,51.0,True,6
MRNA,8.56,8.56,5,5,17.89,True,1
TRTX,2.26,2.35,7,7,41.6,True,4
FLS,4.26,4.21,6,6,50.94,True,6
ENTG,3.57,3.57,6,6,42.71,True,4
ERII,17.85,16.91,5,5,33.56,True,2
VECO,7.25,7.25,6,6,44.11,True,4
ATRC,7.7,7.7,5,5,48.51,True,5
NGVC,1.54,1.54,7,7,50.37,True,6
WAB,4.12,4.12,9,9,60.16,True,8
MLM,4.79,4.78,3,3,49.13,True,5
APLD,-0.7,-0.7,5,5,60.2,True,8
EPAM,9.98,9.98,5,5,48.97,True,5
CMRX,8.66,8.66,3,3,18.7,True,1
INBX,0.94,0.94,3,3,8.37,True,1
AVNW,5.04,5.14,4,4,34.44,True,2
HIMS,6.71,6.67,5,5,69.62,True,10
VIR,14.43,14.43,4,4,19.98,True,1
NAMS,14.66,14.66,4,4,19.49,True,1
AAWW,3.19,3.19,6,6,78.32,True,10
MSI,2.42,2.42,6,6,63.42,True,9
DRI,1.28,1.28,4,4,65.25,True,9
FLEX,2.8,3.31,5,6,49.8,True,5
IBP,5.15,5.15,7,7,57.82,True,8
PRGS,0.99,0.99,5,5,53.83,True,7
UAN,2.77,2.77,5,5,72.17,True,10
LULU,8.38,8.38,6,6,66.41,True,9
NUTX,4.75,4.96,7,7,77.75,True,10
GTY,2.96,2.14,7,7,52.31,True,6
NARI,8.16,8.16,4,4,61.65,True,9
DY,5.57,5.69,5,6,54.9,True,7
UFPT,5.27,5.27,5,5,50.7,True,6
EPR,2.91,3.21,5,6,55.92,True,7
VCYT,20.23,20.23,7,7,56.01,True,7
SABR,-0.94,-1.01,4,4,29.13,True,2
ARCO,1.16,1.21,6,6,49.37,True,5
HASI,7.68,7.78,5,5,56.8,True,8
LVWR,10.83,10.83,3,3,33.35,True,2
