ticker,roe_5y_med_sf,roe_5y_med_fmp,roic_5y_med_sf,roic_5y_med_fmp,gross_margin_5y_med_sf,gross_margin_5y_med_fmp,operating_margin_5y_med_sf,operating_margin_5y_med_fmp,fcf_margin_5y_med_sf,fcf_margin_5y_med_fmp,revenue_growth_3yr_sf,revenue_growth_3yr_fmp,revenue_trend_5y_sf,revenue_trend_5y_fmp,ebitda_trend_5y_sf,ebitda_trend_5y_fmp,fcf_trend_5y_sf,fcf_trend_5y_fmp,revenue_cv_5y_sf,revenue_cv_5y_fmp,op_inc_cv_5y_sf,op_inc_cv_5y_fmp,piotroski_f_sf,piotroski_f_fmp,altman_z_sf,altman_z_fmp,n_yrs_history_sf,n_yrs_history_fmp
ACHR,-0.643219136428137,,-0.05387182157825789,,,,,,,,,,,,,,,,,,0.6114556657510163,,3.0,,10.04,,5,
ACHV,-1.5439579637195244,,-1279.6743013540768,,,,,,,,,,,,,,,,,,0.3398101210231875,,4.0,,1.34,,5,
ACI,0.42404068303044706,,0.08702067835168806,,0.2842198760187094,,0.027238079789178526,,0.019388509519548,,0.04988263001195148,,0.04610875386311366,,0.058156301194521386,,-0.380057713941105,,0.0610596240806235,,0.1709562592522221,,6.0,,0.73,,4,
ACIA,0.12842987371699421,,0.3183386982031795,,0.4869303506207034,,0.1530822639776091,,0.20254143021436247,,,,,,,,,,,,,,,,12.53,,1,
ACIW,0.10266176190594781,,0.05839311662082012,,0.5104645119456277,,0.15173563709787902,,0.12775810266759474,,0.05888478688014698,,0.04779526382425903,,0.07771767134833446,,0.023456761478900964,,0.07793066821324073,,0.26979210733147946,,6.0,,4.04,,5,
ACLS,0.19845377620237167,0.19845377620237167,0.4143131301262984,0.455302675066316,0.43454737467760596,0.43454737467760596,0.207094261026757,0.207094261026757,0.1315681894807822,0.1312141773432232,0.051844762865829175,0.051844762865829175,0.18485348196567125,0.18485348196567125,0.24475607070859365,0.24475607070859365,0.09436263049538789,0.09463560574007175,0.3187793523428884,0.3187793523428884,0.4687375128901829,0.4687375128901829,5.0,4.0,12.19,13.08,5,5.0
ACLX,-0.5807855967961095,,-8.550282858183703,,,,-1.0446445240966387,,0.3947852573200468,,,,,,,,,,0.015440979217589908,,0.6058619454348008,,3.0,,8.96,,5,
ACM,0.09279478876171245,,0.0669759065801271,,0.06449363113470745,,0.05328987688183811,,0.043717597646687034,,0.10676196458725551,,0.04820087439970145,,0.09259873762376851,,0.18360639019302613,,0.0894056299122332,,0.212489755975832,,8.0,,1.84,,5,
ACN,0.29189030818770695,0.30045164458344137,0.4926364441490921,0.4820211645336744,0.32336675596647696,0.32336675596647696,0.15207868649544792,0.14786394217102491,0.1432458893724022,0.1432458893724022,0.02645576315757503,0.02645576315757503,0.09583942072592429,0.09583942072592429,0.09767014768747734,0.062253877194313995,0.030605364650133332,0.030605364650133332,0.1606309142644429,0.1606309142644429,0.1779089665227419,0.15436726303690881,4.0,4.0,4.38,4.51,5,5.0
ACOR,-0.6878130437947029,,-0.2954324412752054,,0.762544884881694,,-0.4613067442291261,,-0.13151982472972773,,-0.045336652257867094,,-0.08992565177710281,,,,,,0.12692518423333615,,0.5197147225809585,,4.0,,-4.91,,4,
ACR,-0.622231459827383,,-0.12925142599428235,,0.4640946758681855,,0.2732278299751485,,0.293829624086546,,,,,,,,,,,,,,,,7.28,,1,
ACRE,0.039844021724589986,,0.0119390648497859,,,,0.8891031579795375,,0.3607396487342009,,-0.03728779368929214,,0.14473097898153478,,0.08348623652576549,,0.07397631745458066,,0.29372173671866886,,0.291741286509982,,5.0,,7.99,,5,
ACRO,-0.0016942928679227914,,-0.0016878084948148322,,,,,,,,,,,,,,,,,,0.5036878191475983,,3.0,,87.07,,2,
ACRS,-0.562931434860891,,-15.330690062426186,,0.8508547008547008,,-3.7642164549265575,,-2.5483695478255304,,-0.20677783803947503,,0.263349253474467,,,,,,0.642821086859778,,0.38377087308729885,,3.0,,9.99,,5,
ACRV,-0.31924701382965603,,-0.7294963018443966,,,,,,,,,,,,,,,,,,0.6434302613796684,,3.0,,16.15,,4,
ACRX,-1.304289259127969,,-0.09178877974047306,,-0.22276633752422967,,-12.762597586941093,,-11.294889992902768,,,,-0.5119462979338923,,,,,,0.8055418662702765,,0.4544810234342492,,3.0,,-3.19,,5,
ACST,0.17424739185624188,,0.09136969584627029,,0.5555555555555556,,60.50617283950617,,-155.90123456790124,,,,,,,,,,,,0.5389691288347015,,2.0,,43.29,,2,
ACTG,0.3351024643553415,,,,0.3686912179389764,,-0.6553622993754616,,-0.6427908076254158,,0.41015961187079153,,0.2494267220929003,,,,,,0.4936353919892312,,1.8369880865537844,,5.0,,8.08,,3,
ACU,0.1531454827201585,,0.0974205524402696,,0.35962518765074625,,0.0692289233993269,,0.006226067793951824,,0.02552281348703067,,0.05159894225867864,,0.02165454238639041,,1.024991515184266,,0.07431042010937015,,0.291762434237718,,7.0,,7.7,,4,
ACVA,-0.1809962936816096,,-0.4698057379709855,,0.4574264363568299,,-0.19508343852138396,,0.03294825707799594,,0.22944515398285525,,0.23268426471402143,,,,0.5943315201820775,,0.3742904638815781,,0.3052512694902952,,6.0,,3.21,,5,
ACXP,-13.025579520511526,,,,,,,,,,,,,,,,,,,,0.023405066065944273,,2.0,,-22.8,,2,
ADAG,-0.962468529739013,,,,,,-9.030794737904623,,-5.304981940709743,,,,,,,,,,,,,,,,3.19,,1,
ADAP,-2.020762598011676,,,,0.9996068122584704,,-6.039671430676293,,-2.414707785205952,,1.560826262709465,,0.7299105846831079,,,,,,1.3125565153633125,,0.3274282961749288,,4.0,,1.97,,5,
ADBE,0.3384812468863426,0.3384812468863426,0.44094232331437855,0.44094232331437855,0.878716059559998,0.878716059559998,0.34635919572872886,0.3426245556185275,0.41249611439229095,0.41249611439229095,0.10519617881227394,0.10519617881227394,0.11986509584388294,0.11986509584388294,0.1174332044549478,0.09220952663599466,0.07543385366704336,0.0738143729997083,0.1903853423094243,0.1903853423094243,0.20966281762854433,0.17109956562836956,7.0,7.0,4.56,4.09,5,5.0
ADC,0.03298333902230603,,0.021926049524451055,,0.881329454946159,,0.482949950979995,,0.8528719240959658,,,,,,,,,,,,,,,,4.3,,1,
ADCT,-1.3849645970810656,,-31.081524482584552,,0.9612855017078455,,-2.115363955304602,,-1.7564653854058614,,-0.41908099509769536,,-0.030805267815286325,,,,,,0.8100229960759212,,0.3290313852874245,,3.0,,-1.58,,5,
ADER,0.028656658929499295,,0.2888405594448576,,,,,,,,,,,,,,,,,,0.8785331018190998,,3.0,,2.26,,3,
ADES,-0.06370241250473285,,-0.05095368337012629,,0.32122440337557845,,-0.11717983823200986,,-0.1612048122578578,,0.028585388475653728,,0.08571783636113135,,,,,,0.17041002547871792,,0.9583031065869472,,5.0,,7.04,,5,
ADEX,,,-2.0145772594752187,,0.37809430352583384,,-0.7227161100621908,,-1.2337024542727364,,,,,,,,,,0.0920035550832779,,0.2176283552531149,,2.0,,-20.67,,2,
