ticker,sf,fmp_orig,v1_addcomp,v2_subDR,v3_subDR_AE_OCL,v1_pct,v2_pct,v3_pct,orig_pct
PRCT,53133000.0,53133000.0,14010000.0,43568000.0,11942000.0,-73.63220597368867,-18.001994993695067,-77.52432574859314,0.0
DLTR,8585900000.0,8585900000.0,3906800000.0,8585900000.0,3906800000.0,-54.49749007093024,0.0,-54.49749007093024,0.0
SYY,9241000000.0,9241000000.0,7015000000.0,9241000000.0,7015000000.0,-24.088302131803918,0.0,-24.088302131803918,0.0
GLW,4919000000.0,4919000000.0,1893000000.0,4602000000.0,2002000000.0,-61.51656840821305,-6.444399268143932,-59.30067086806261,0.0
SANM,1940679000.0,1940679000.0,1481754000.0,1940679000.0,1481754001.0,-23.647651157146544,0.0,-23.647651105618188,0.0
ARIS,98462000.0,134518000.0,111747000.0,130166590.0,111747000.0,13.492514878836506,32.19982328207836,13.492514878836506,36.61920334748431
IONQ,36085000.0,36085000.0,8596000.0,25407000.0,8596000.0,-76.17846750727449,-29.59124289871138,-76.17846750727449,0.0
ATRO,156152000.0,156152000.0,54335000.0,128661000.0,54335000.0,-65.20377580818689,-17.60528203289103,-65.20377580818689,0.0
SFM,679968000.0,679968000.0,381685000.0,679968000.0,381685000.0,-43.86721139818344,0.0,-43.86721139818344,0.0
MDXG,45595000.0,45595000.0,9716000.0,45595000.0,11137000.0,-78.69064590415616,0.0,-75.57407610483605,0.0
VSEC,298500000.0,281844000.0,225318000.0,277365000.0,225318000.0,-24.516582914572865,-7.080402010050252,-24.516582914572865,-5.579899497487437
CYTK,778866000.0,179674000.0,50867000.0,127304000.0,50867000.0,-93.46909481220132,-83.65521155115258,-93.46909481220132,-76.93133350281049
WEAV,76620000.0,76620000.0,21446000.0,36633000.0,18040000.0,-72.00991908117985,-52.18872357086922,-76.45523362046464,0.0
SON,4038291000.0,4038291000.0,3191780000.0,4038291000.0,3191780000.0,-20.96210996186258,0.0,-20.96210996186258,0.0
ENSG,743428000.0,743428000.0,211908000.0,724610000.0,272252000.0,-71.49582743722324,-2.5312471416196325,-63.37883426505324,0.0
NTGR,270083000.0,270083000.0,79291000.0,239822000.0,79291000.0,-70.64198783336974,-11.204333482670142,-70.64198783336974,0.0
INCY,1598190000.0,1641847000.0,231248000.0,1641847000.0,231248000.0,-85.53063152691482,2.731652682096622,-85.53063152691482,2.731652682096622
